"If you hate a person, then you’re defeated by them.", Confucius
Not being outraged by anything is a superpower., James Pierce
"The smarter you get, the more you realize anger is not worth it.", Maxime Lagacé
"Holding on to anger is like grasping a hot coal with the intent of throwing it at someone else; you are the one who gets burned. (See also: quote’s source, quoteinvestigator.",com)
Anger makes us feel so isolated., Fred Rogers
An action committed in anger is an action doomed to failure., Genghis Khan
One’s anger is one’s greatest enemy and one’s calmness is one’s protection., Sathya Sai Baba
Another person will not hurt you without your cooperation. You are hurt the moment you believe yourself to be., Epictetus
Shouting something didn’t make it any more possible., Susan Sontag
Tears of despair can be fuel. Thunders of anger can be light., Maxime Lagacé
"I would not look upon anger as something foreign to me that I have to fight… I have to deal with my anger with care, with love, with tenderness, with nonviolence."," Thich Nhat Hanh (Being Peace, Amazon book)"
"If you’re offended easily, you’re a bad resource allocator. It’s a waste of energy and attention, which is a greater sin than wasting time.", Tim Ferriss
It always makes me proud to love the world somehow – hate’s so easy compared., Jack Kerouac (Big Sur)
It doesn’t hurt me unless I interpret it’s happening as harmful to me. I can choose not to., Marcus Aurelius
I will permit no man to narrow and degrade my soul by making me hate him. Booker T., Washington
No one heals himself by wounding another., Ambrose
Hatred is public and shameless demonstration of inferiority complex., Paulo Coelho
Everything that irritates us about others can lead us to an understanding of ourselves., Carl Jung
"The instant we feel anger we have already ceased striving for the truth, and have begun striving for ourselves.", Buddhist proverb
"Judge, and feel separate and lonely. Anger, and lose peace of mind. Cling, and live in anxiety. Fantasize, and miss the present. Desire, and suffer until you have it.", Naval Ravikant
Friendly reminder. If you ever lose your temper it is your fault. Always. Your emotional responses are never the responsibility of any other human being., Thibaut
Everyone asks how to deal with anger when it arises. No one asks how to prevent anger from arising., James Pierce
So other people hurt me? That’s their problem. Their character and actions are not mine., Marcus Aurelius
A man is about as big as the things that make him angry., Winston Churchill
"You will not be punished for your anger, you will be punished by your anger.", Buddha
We will cease to be angry once we cease to be so hopeful., Alain de Botton
An angry man opens his mouth and shuts his eyes., Cato The Elder
Delay gratification. Don’t give your ego the satisfaction of a scream., Maxime Lagacé
The best way to avenge yourself is to not be like that., Marcus Aurelius
"When you think you’ve been injured, apply this rule: If the community isn’t injured by it, neither am I. And if it is, anger is not the answer. Show the offender where he went wrong.", Marcus Aurelius
"Keep this thought handy when you feel a fit of rage coming on — it isn’t manly to be enraged. Rather, gentleness and civility are more human, and therefore manlier. A real man doesn’t give way to anger and discontent, and such a person has strength, courage, and endurance — unlike the angry and complaining. The nearer a man comes to a calm mind, the closer he is to strength.", Marcus Aurelius
The best thing you can do when you are angry is nothing., @orangebook_
"We can’t control what people say, but we do have a say in how we react. Refusing to give others power over our feelings is a mark of emotional intelligence.", Adam Grant
Only when we know our own darkness well can we be present with the darkness of others., Pema Chödron
"If we could learn to like ourselves, even a little, maybe our cruelties and angers might melt away.", John Steinbeck
A person does not react to the insult. He reacts to what the insult makes him feel about himself., Kapil Gupta
A verbal threat is the most authentic certificate of impotence., Nassim Nicholas Taleb (The Bed of Procrustes)
Hatred is like a two edged sword. When you cut the other person you cut yourself., Haruki Murakami (The Wind-Up Bird Chronicle)
A wise man looks for everything inside of himself; a madman seeks for everything in others., Leo Tolstoy
"When you want to become free, your righteousness and anger are much less interesting than they used to be.", Ram Dass
Just because you’re offended doesn’t mean you’re right. Being offended is a choice and should be chosen wisely., Mark Manson
An eye for an eye will only make the whole world blind., Mahatma Gandhi
The greatest remedy for anger is delay., Seneca
Most quarrels are inevitable at the time; incredible afterwards. E. M., Forster
"I get angry about things, then go on and work.", Toni Morrison
"Anger… it’s a paralyzing emotion… you can’t get anything done. People sort of think it’s an interesting, passionate, and igniting feeling – I don’t think it’s any of that – it’s helpless … it’s absence of control – and I need all of my skills, all of the control, all of my powers … and anger doesn’t provide any of that – I have no use for it whatsoever.", Toni Morrison
"Hate, it has caused a lot of problems in the world, but has not solved one yet.", Maya Angelou
"If your hate could be turned into electricity, it would light up the whole world.", Nikola Tesla
Hating clouds the mind. It gets in the way of strategy. Leaders cannot afford to hate., Nelson Mandela
"Anger may seem to be a source of energy, but it’s blind. It causes us to lose our restraint. It may stir courage, but that too is blind.", 14th Dalai Lama
Anger dwells only in the bosom of fools., Albert Einstein
"When reason ends, then anger begins. Therefore, anger is a sign of weakness.", 14th Dalai Lama
Anger is a weed; hate is the tree., Augustine of Hippo
"Anybody can become angry – that is easy, but to be angry with the right person and to the right degree and at the right time and for the right purpose, and in the right way – that is not within everybody’s power and is not easy.", Aristotle
"I imagine one of the reasons people cling to their hates so stubbornly is because they sense, once hate is gone, they will be forced to deal with pain.", James Baldwin
For every minute you are angry you lose sixty seconds of happiness., Ralph Waldo Emerson
Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured., Mark Twain
"Doing an injury puts you below your enemy; revenging one makes you but even with him; forgiving, it sets you above him.", Benjamin Franklin
Anger is only one letter short of danger., Eleanor Roosevelt
There is no passion so much transports the sincerity of judgement as doth anger., Michel de Montaigne
Never hate your enemies. It affects your judgment., Mario Puzo (The Godfather)
Never waste a minute thinking about people you don’t like. Dwight D., Eisenhower
Anger reduces reason., Shane Parrish
Taking offense is optional., Jack Butcher
If you’re mad it is your fault., Jonathan Wilson
Anger is really disappointed hope., Erica Jong
All ferocity is born from weakness., Seneca
The best answer for anger is silence., Paulo Coelho
Anger is fleeting; remorse is eternal., Karn the Silver Golem
You are the first victim of your anger. D., Muthukrishnan
Don’t respond to provocation with imitation., @TheStoicEmperor
"When anger rises, think of the consequences.", Confucius
Fire in the heart sends smoke into the head., German proverb
Adopt the pace of nature: her secret is patience., Ralph Waldo Emerson
Hating someone does more damage to yourself than them., Sahil Lavingia
He who angers you conquers you., Elizabeth Kenny
Promote what you love instead of bashing what you hate., Unknown
"You either give up and quit, or you get angry and fight.", Willow Cross
Take a step back and smile. Don’t take a step forward and scream., Maxime Lagacé
Haters are confused admirers who want to be like you., Paulo Coelho
Any person capable of angering you becomes your master. They can anger you only when you permit yourself to be disturbed by them., Epictetus
"Conquer the angry one by not getting angry; conquer the wicked by goodness; conquer the stingy by generosity, and the liar by speaking the truth.", The Dhammapada
"Anger comes so fast we don’t even notice it. Cultivating detachment, presence and silence every day will help you react less.", Maxime Lagacé
Understand at last that you have something in you more powerful and divine than what causes the bodily passions and pulls you like a mere puppet., Marcus Aurelius
"As you move forward along the path of reason, people will stand in your way. They will never be able to keep you from doing what’s sound, so don’t let them knock out your goodwill for them. Keep a steady watch on both fronts, not only for well-based judgments and actions, but also for gentleness with those who would obstruct our path or create other difficulties. For getting angry is also a weakness, just as much as abandoning the task or surrendering under panic. For doing either is an equal desertion — the one by shrinking back and the other by estrangement from family and friend.", Marcus Aurelius
"When pain, misery, or anger happen, it is time to look within you, not around you.", Sadhguru
Anger is not attractive. Calmness backed by real strength is., @orangebook_ (See also: calm quotes)
"All of us have some darkness inside of us – aggression, anger, hatred – the idea isn’t to get rid of it. The idea is to realize it exists for a reason, and once you learn how to leverage it without it corroding you, you’ll have the ability to push through the hardest of times.", Tom Bilyeu
"How satisfying it is to dismiss and block out any upsetting or foreign impression, and immediately to have peace in all things.", Marcus Aurelius
"When you fill your life with love, you’ll find that anger, guilt, resentment, and any negative feelings will leave you.", Rhonda Byrne
"We all have negative urges, but we don’t have to act out those urges.", Fred Rogers
Be aware of whom the anger is hurting. Usually it’s yourself first and foremost. I now mostly feel sorry for angry people., Naval Ravikant
Look at the people you don’t love and see them as an exercise for you to open your heart., Ram Dass
"Be angry, it’s okay. To be angry, that is very human. And to learn how to smile at your anger and make peace with your anger is very nice.", Thich Nhat Hanh
"When you are angry, be aware of your anger. As you become aware of it, you are no longer lost in anger. You get to see it from the outside.", Haemin Sunim
"Holding grudges is stupid, unproductive and poisonous. Only fools hold on. The wise let go.", Maxime Lagacé
"The more anger towards the past you carry in your heart, the less capable you are of loving in the present.", Barbara De Angelis
The biggest mistake we make with negative emotions is trying not to feel them. Awareness deepens positive emotions and allows negative ones to dissipate. Trying to avoid your feelings causes suffering., Shane Parrish
"Anger and frustration are rarely caused by other people’s actions. They’re caused by how you interpret their actions. To change your reactions, question your explanations. You know what they did, but not why. New interpretations pave the way to new emotions.", Adam Grant
One of the most banal yet personally profound insights a person can have is the realization that one does not have to let their emotions determine their behavior. Ever. You’re actually allowed to listen to the signals and decide: “nawwww I’ll pass.,” Scott Barry Kaufman
You can dislike someone and still learn from them., Angela Jiang
Pause and ask yourself: “Does this really need a response?” Little annoyances come and go. The irritation fades quickly if it is not indulged., @TheStoicEmperor
Try to avoid making important decisions when you’re angry. Acknowledge the emotion. Recognize that it clouds your judgement. Remember that angry people tend to sacrifice the long-term good in response to short-term provocation., @TheStoicEmperor
Why can’t we control our anger? Because we love perfection. Make a little room for imperfection in our lives., Sri Sri Ravi Shankar
Promise yourself that you will assume you are the root of your problems next time you get upset., Mark Manson
Never go to bed mad. Stay up and fight., Phyllis Diller
Angry is just sad’s bodyguard., Liz Palmer
Speak when you are angry and you will make the best speech you will ever regret., Ambrose Bierce
Unsubscribe from your drama., Thibaut (@kpaxs)
"You shouldn’t give circumstances the power to rouse anger, for they don’t care at all.", Marcus Aurelius
People generally quarrel because they cannot argue. G. K., Chesterton
It’s funny how people think you hate them when you literally do not think of them at all., Paulo Coelho
"When angry, count four. When very angry, swear.", Mark Twain
Anger: when reality and expectations don’t fit., Maxime Lagacé
Bitterness: anger that forgot where it came from., Alain de Botton
Those who want to be outraged are never without a reason., James Pierce
Anger is its own punishment. An angry person trying to push your head below water is drowning at the same time., Naval Ravikant
"The ignorant mind, with its infinite afflictions, passions, and evils, is rooted in the three poisons: greed, anger, and delusion.", Bodhidharma
"Reason gives each side time to plead; moreover, she herself demands adjournment, that she may have sufficient scope for the discovery of the truth; whereas anger is in a hurry: reason wishes to give a just decision; anger wishes its decision to be thought just. … The sword of justice is ill-placed in the hands of an angry man.", Seneca
"Anger is not impressive or tough — it’s a mistake. It’s weakness. Depending on what you’re doing, it might even be a trap that someone laid for you.", Ryan Holiday
"If you’re angry, you’re part of the problem, not the solution.", Ryan Holiday
How much more harmful are the consequences of anger and grief than the circumstances that aroused them in us., Marcus Aurelius
You remember the insults you received far more than those you gave., Nassim Nicholas Taleb
"Anger is privilege for the strong, duty for the righteous, and self-harm for the weak.", Nassim Nicholas Taleb
If you are easily offended you are also easily persuaded., @AmuseChimp
How easily someone is offended is in direct proportion to how stupid they are., Ed Latimore
The further a society drifts from the truth the more it will hate those who speak it., George Orwell
To indulge in outrage is to renounce wisdom., James Pierce
